S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-03-19,154,CHCL,Chilime Hydropower Company Limited,470.0000,471.0000,463.2000,469.0000,21725,10139491.3000,469.9000,504.1000,347.9000,2023-03-19T14:59:41.285464,469.0000,167,466.71,34040.86
2,2023-03-19,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,798.0000,814.8000,785.0000,787.0000,8741,6923721.2000,798.0000,1303.0000,785.0000,2023-03-19T14:59:50.184977,787.0000,231,792.09,22314.61
3,2023-03-19,235,HDL,Himalayan Distillery Limited,2050.0000,2050.0000,1975.0000,1975.0000,30708,61098633.7000,2015.0000,4323.0000,1975.0000,2023-03-19T14:59:58.263388,1975.0000,1014,1989.66,47983.94
4,2023-03-19,250,JFL,Janaki Finance Company Limited,380.1000,384.9000,379.1000,380.0000,6859,2611926.0000,378.0000,535.0000,305.0000,2023-03-19T14:59:41.661822,380.0000,51,380.80,2623.80
5,2023-03-19,559,NLG,NLG Insurance Company Ltd.,665.0000,667.0000,652.0000,660.1000,7461,4930252.8000,652.0000,928.0000,423.0000,2023-03-19T14:59:52.670354,660.1000,61,660.80,8756.98
6,2023-03-19,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,465.0000,486.9000,465.0000,484.0000,3586,1715552.8000,473.0000,957.0000,465.0000,2023-03-19T14:57:01.212016,484.0000,55,478.40,4755.30
7,2023-03-19,669,SHINEP,Shine Resunga Development Bank Ltd. Promoter Share,185.0000,185.0000,185.0000,185.0000,5124,947940.0000,185.0000,185.0000,140.0000,2023-03-19T12:28:10.814408,185.0000,1,185.00,
8,2023-03-19,2776,RADHI,Radhi Bidyut Company Ltd,260.1000,267.5000,260.1000,262.0000,37758,9956390.1000,263.0000,699.0000,195.3000,2023-03-19T14:59:52.148379,262.0000,312,263.68,4391.07
9,2023-03-19,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,580.0000,585.0000,575.0000,585.0000,1219,706138.9000,591.6000,1407.0000,575.0000,2023-03-19T14:59:12.729170,585.0000,55,579.27,2147.79
10,2023-03-19,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,660.0000,670.0000,657.0000,668.0000,211,139435.4000,664.0000,1305.6000,650.0000,2023-03-19T14:59:54.598248,668.0000,17,660.83,2553.49
